timepoint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2022-06-02 15:51:42.353039,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.0,300.4,300.6,300.4,299.8,299.8,299.6,300.4
2022-06-02 15:51:43.337209,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.2,300.4,299.6,299.8,299.8,300.0,299.0,299.8
2022-06-02 15:51:44.352567,300.0,300.0,300.0,301.0,300.0,300.0,300.0,300.0,300.0,300.4,299.8,299.8,300.0,299.8,300.0,300.0
2022-06-02 15:51:45.352340,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.6,299.8,300.0,300.0,300.2,299.8,299.6
2022-06-02 15:51:46.352113,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.4,300.6,300.0,300.0,299.0,299.8,300.2,300.4
2022-06-02 15:51:47.366133,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.2,300.0,300.0,300.2,300.2,299.8,299.6,300.0
2022-06-02 15:51:48.350631,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,298.8,299.6,300.2,299.8,300.6,300.4,299.8,299.6
2022-06-02 15:51:49.365695,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.8,299.6,300.2,299.8,300.0,299.8,299.6,300.0
2022-06-02 15:51:50.365797,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.4,300.4,299.4,300.0,299.8,299.8,299.4,299.8
2022-06-02 15:51:51.365567,300.0,300.0,300.0,301.0,300.0,300.0,300.0,300.0,300.0,299.6,299.6,300.2,299.6,300.0,299.8,299.8
2022-06-02 15:51:52.380943,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.6,299.8,300.0,300.0,300.0,299.6,299.4,299.8
2022-06-02 15:51:53.380706,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.4,300.0,300.0,300.0,299.4,298.6,300.0
2022-06-02 15:51:54.396109,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.6,300.4,300.0,300.0,300.0,300.2,299.6,300.2
2022-06-02 15:51:55.364610,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,299.8,301.0,300.4,300.2,300.2,300.4,299.6,299.8
2022-06-02 15:51:56.364380,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,299.6,300.2,300.0,300.4,299.8,300.0,300.6,299.8
2022-06-02 15:51:57.379783,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.4,299.8,300.2,300.2,299.8,299.8,300.0
2022-06-02 15:51:58.363934,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.2,299.4,299.8,300.2,299.4,299.8,300.2,300.0
2022-06-02 15:51:59.363685,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,299.8,299.6,300.0,300.0,300.0,300.0,300.2,300.2
2022-06-02 15:52:00.363435,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.8,300.4,300.0,300.2,299.8,300.0,301.0,300.2
2022-06-02 15:52:01.347570,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.6,300.0,300.2,299.8,300.2,300.0,299.4,299.4
